Game Name,Score,Published date,author,Vote,Number of Players,Age range,Game time,Own it,Want it,Favorite,Heart it,Played it,Follow
The King of All Bards,--,2019,Fantasmagoria Games,1 vote,3-6,10+,30+,2,2,2,25,1,1
Aerion,--,2019,Z-Man Games,1 vote,1-2,10+,15+,2,-,-,-,-,-
Cerebria: The Inside World,--,2018,Mindclash Games,1 vote,1-6,15+,60+,5,1,0,176,4,3
Detective: City of Angels,--,2018,Van Ryder Games,1 vote,1-5,14+,30+,5,1,-,-,3,1
DreadBall (Second Edition),--,2018,Mantic Games,1 vote,2,12+,45+,1,-,-,1,3,-
Vast: The Fearsome Foes,--,2018,Leder Games,1 vote,1-7,10+,60+,5,-,-,-,-,-
Nemesis,--,2018,Awaken Realms,1 vote,1-5,12+,90+,3,1,2,25,3,1
Cosmic Encounter: Cosmic Eons,--,2016,Fantasy Flight Games,1 vote,3-5,14+,60+,8,4,2,1,34,2
Legends of Andor: Journey to the North,--,2016,Thames and Kosmos,1 vote,2-4,10+,60+,8,-,1,-,12,-
Lock â€˜n Load Tactical: Heroes of Normandy,--,2015,Lock 'n Load Publishing,1 vote,1-2,12+,120+,1,-,1,-,-,-
A Study in Emerald (2nd ed.),--,2015,Treefrog Games,1 vote,2-5,13+,60,3,-,-,25,-,-
Argonauts,--,2015,Alcyon Creative,1 vote,1-4,10+,60,2,-,-,-,9,-
Blue Max: World War I Air Combat,--,2014,"Edge Entertainment, Stratelibri",1 vote,2-6,12+,90,1,-,1,6,-,1
Torres,--,1999,"Huch and Friends, IDW Games",1 vote,2-4,10+,60,6,2,1,-,2,-
Spirit Island: Branch And Claw,--,2017,Greater Than Games,3 votes,1-4,14+,90+,12,2,1,-,15,1
Talisman: The Cataclysm,--,2016,Fantasy Flight Games,2 votes,2-6,13+,90,6,1,1,25,-,1
Battlestations (2nd Edition),--,2017,Gorilla Games,2 votes,1-9,12+,60+,6,-,1,75,-,3
Insecta,--,1995,Sierra Madre Games,2 votes,1-7,12+,90+,1,1,1,355,17,3
Brass: Birmingham,9.4,2018,Roxley Games,5 votes,2-4,14+,60+,13,3,4,25,16,2
Twilight Imperium (4th Ed.),--,2017,Fantasy Flight Games,4 votes,3-6,14+,240+,20,9,5,29,11,2
